亜, ア ア シ ア, つ ぐ, châu Á; Xếp hạng tiếp theo; theo sau, đuổi theo, xảy đến; -người
阿, ア オ, お も ね る, châu Phi; nịnh nọt; Nô lệ; góc; Nook; Chỗ nghỉ
卸, シ ャ, お ろ す お ろ し お ろ し, bán sỉ
恩, オ ン ,, ân huệ; Lòng tử tế; Tốt; ủng hộ; nhân từ; Phước lành; lợi ích
穏, オ ン, お だ や か, bình tĩnh; Yên tĩnh; Kiểm duyệt
仮, カ ケ, か り か り -, giả dối; Tạm thời; Tạm thời; tên giả định); không chính thức
価, カ ケ, あ た い, giá trị; giá bán
佳, カ ,, tuyệt vời; đẹp; Tốt; Làm hài lòng; Có kỹ năng
嘉, カ, よ み す る よ い, hoan nghênh; Khen ngợi; kính trọng
嫁, カ, よ め と つ ぐ, kết hôn; cô dâu
寡, カ ,, góa phụ; Thiểu số; vài
暇, カ, ひ ま い と ま, thời gian rảnh rỗi; nghỉ ngơi; Giải trí; thời gian; Nghỉ vắng mặt
架, カ, か け る か か る, dựng đứng; khung; Gắn kết; ủng hộ; Kệ; xây dựng
禍, カ, わ ざ わ い, tai hoạ; Bất hạnh; tà ác; nguyền rủa
稼, カ, か せ ぐ, thu nhập; công việc; kiếm tiền
箇, カ コ ,, quầy cho mọi thứ
華, カ ケ, は な, huy hoàng; hoa; Cánh hoa; Tỏa sáng; nước bóng; phô trương; Showy; Gay; Tuyệt đẹp
霞, カ ゲ, か す み か す む, mơ hồ; Mờ dần; bị mờ
蚊, ブ ン, か, muỗi
我, ガ, わ れ わ わ が - わ が -, tự ngã; TÔI; ích kỷ; của chúng ta; Bản thân
芽, ガ, め, chồi; Nảy mầm; thương; mầm
賀, ガ ,, xin chúc mừng; vui sướng
雅, ガ, み や び, duyên dáng; thanh lịch; duyên dáng; Tinh tế
餓, ガ, う え る, chết đói; đói bụng; Khát
塊, カ イ ケ, か た ま り れ, lớp; Cục bướu; Chink; Cục máu đông; khối lượng
壊, カ イ エ, こ わ す こ わ れ る, phá dỡ; phá vỡ; hủy hoại
怪, カ イ ケ, あ や し い あ や し む, nghi ngờ; huyền bí; Xuất hiện
悔, カ イ, く い る く や む く や し い, hối cải; hối tiếc
懐, カ イ エ, ふ と こ こ こ こ こ こ エ う う う う う う う う うCảm xúc; tim; khao khát; nhớ ai đó; Trở nên gắn bó với; Ngực; nhũ hoa
戒, カ イ, い ま し め る, điều răn
拐, カ イ, kidnap; Giả mạo
劾, ガ イ ,, censure; Điều tra tội phạm
慨, ガ イ ,, rue; buồn bã; thở dài; than thở
概, ガ イ, お う む ね, phác thảo; điều kiện; Xấp xỉ; nói chung là
涯, ガ イ, は て, đường chân trời; bờ biển
街, ガ イ カ イ, ま ち đại lộ; đường phố; thị trấn
該, ガ イ ,, nêu trên; Như đã nói; Cụ thể
馨, ケ イ キ ョ ウ, ケ お る か お り, thơm; gàn; Thuận lợi
垣, エ ン, か き, hàng rào; hàng rào; Tường
嚇, カ ク, お ど か す, đe dọa; Phẩm giá; Uy nghi; hăm dọa
拡, カ ク コ ウ, カ ク ク め ウ, mở rộng; mở rộng; Mở rộng; phóng to
核, カ ク ,, hạt nhân; cốt lõi; Hạt nhân
殻, カ ク コ ク バ イ, か ら が ら, trấu; Vỏ hạt
獲, カ ク, え る, tịch thu; được; tìm thấy; kiếm; có được, thu được; có thể; Tháng Năm; có thể
穫, カ ク ,, thu hoạch; gặt hái
較, カ ク コ ウ, く ら べ る, tương phản; so sánh
郭, カ ク, く る わ, bao vây; Khu; Củng cố; Phố đèn đỏ
閣, カ ク ,, tháp; nhà cao tầng; cung điện
隔, カ ク, へ だ て る へ だ た る, cô lập; Luân phiên; khoảng cách; tách rời; Vịnh
岳, ガ ク, た け, điểm; Cao điểm; núi
潟, セ キ, か た, đầm phá
喝, カ ツ ,, hoarse; La mắng
括, カ ツ, く く る, đóng chặt; Liên kết; Bắt giữ; Co thắt
渇, カ ツ, か わ く, khát; làm thinh; phơi
滑, カ ツ コ ツ, す べ る な め ら か, trơn trượt; trượt; Trượt; Flunk
褐, カ ツ ,, nâu; Kim kim len
轄, カ ツ, く さ び, kiểm soát; Nêm
且, シ ョ ソ シ ョ ウ, か つ, hơn nữa; cũng thế; Hơn nữa
株, シ ュ, か ぶ, cổ phiếu; Gốc cây; Cổ phần; cổ phần; Quầy cho các nhà máy nhỏ
鎌, レ ン ケ ン, か ま, lưỡi liềm; Lưỡi hái; lừa
刈, ガ イ カ イ, か る, gặt; cắt tỉa; kẹp; Trang trí; Cây mận
冠, カ ン, か ん む り, vương miện; tốt; Vô song
勘, カ ン ,, trực giác; Nhận thức
勧, カ ン ケ ン, す す め る, thuyết phục; giới thiệu; khuyên nhủ; khuyến khích; phục vụ
喚, カ ン, わ め く, la lên; khóc; hét lên
堪, カ ン タ ン, た え る ン, た ン る ン, chịu được; Chịu đựng; ủng hộ; kháng cự
寛, カ ン, く つ ろ ぐ ひ ろ い か, khoan dung; khoan dung; Lòng quảng đại; thư giãn; Cảm thấy như ở nhà; Được thoải mái; Mở rộng
幹, カ ン, み き, thân cây
憾, カ ン, う ら む, hối hận; hối tiếc; xin lỗi
敢, カ ン, あ え て あ え な い あ え ず, táo bạo; buồn; Bi kịch; thương tâm; Yếu ớt; Yếu ớt
棺, カ ン ,, quan tài; Triều thiên
款, カ ン ,, thiện chí; bài báo; phần; hữu nghị; Thông đồng
歓, カ ン, よ ろ こ ぶ, vui sướng; vui sướng
環, カ ン, わ, vòng; vòng tròn; Liên kết; Bánh xe
監, カ ン ,, giám sát; chính thức; Văn phòng chính phủ; qui định; Quản lý
看, カ ン, み る, canh chừng; xem
緩, カ ン, ゆ ン ン, ゆ ン ン ン, ゆ ン ン ン ン る る る る る る る る, Nới lỏng; thư giãn; Giảm; Trung bình; giảm bớt
肝, カ ン, き も, gan; Nhổ lông; Dây thần kinh; Chutzpah
艦, カ ン ,, tàu chiến
貫, カ ン, つ ら ぬ く ぬ く ぬ き, đâm; 8 1 / 3lbs; Thâm nhập; Nẹp
還, カ ン, か え る, gửi lại; trở về
鑑, カ ン, か ん が み る か が み, mẫu vật; Cảnh báo từ; học hỏi từ
閑, カ ン ,, leisure
陥, カ ン, お ち い る お と し, sụp đổ; rơi vào; hang động; Rơi (lâu đài); Trượt vào
韓, カ ン, か ら い げ た, Hàn Quốc
巌, ガ ン, い わ い わ お け, đá; Crag; Tảng đá
眼, ガ ン ゲ ン, ま な こ め, nhãn cầu
頑, ガ ン, か た く, bướng bỉnh; khờ dại; Vững chắc
企, キ, く わ だ て る, thực hiện; kế hoạch; Thiết kế; Cố gắng; kế hoạch
器, キ, う つ わ, dụng cụ; tàu; Ổ cắm; Thực hiện; Dụng cụ; có khả năng; thùng đựng hàng; dụng cụ; bộ
基, キ, も と も と い, nguyên tắc cơ bản; Gốc (chem); Máy đếm; nền tảng
奇, キ, く, く し し き ず キ し い, kỳ lạ; Kỳ lạ; Sự tò mò
嬉, キ, う れ し い た の し む, vui vẻ; vừa lòng; hân hoan
岐, キ ギ ,, nhánh tắt; Ngã ba đường; bối cảnh; Đấu trường; rạp hát
忌, キ, い む い み い ま わ し い, tang lễ; Ghê tởm; Ghê tởm; ngày giỗ
揮, キ, ふ る う, nhạt; làn sóng; hay bông lơn; lung lay; Lắc
旗, キ, は た, quốc kỳ; Banner; Tiêu chuẩn
既, キ, す で に, trước đây; Đã có; từ lâu
棋, キ, ご, cờ vua; Cờ vua Nhật; Shogi
棄, キ, す て る, bỏ; vứt đi; Loại bỏ; Từ chức; Từ chối; sự hy sinh
毅, キ ギ, つ よ い, mạnh
汽, キ ,, hơi; hơi nước
紀, キ, biên niên sử; tài khoản; Tường thuật; lịch sử; Biên niên sử; Thời kỳ địa chất
貴, キ, キ キ っ っ た た た キ, giá trị; giải thưởng; kính trọng; tôn vinh
軌, キ ,, rut; Bánh xe; Theo dõi; mô hình; Cách làm
輝, キ, か が や く, rực rỡ; Tỏa sáng; Lấp lánh; tia; lấp lánh
飢, キ, う え る, đói; chết đói
騎, キ ,, equestrian; Cưỡi ngựa; Truy cập cho equestrians
鬼, キ, お に お に -, ma; ác quỷ
亀, キ キ ュ ウ キ ン, か め, rùa; rùa
偽, ギ カ, い つ わ る に せ い つ わ り, giả dối; nói dối; lừa dối; giả vờ; Giả mạo; Giả mạo
儀, ギ ,, lễ; qui định; Công việc; Trường hợp; một vấn đề
宜, ギ, よ ろ し い よ ろ し く, tốt nhất liên quan; Tốt
戯, ギ ゲ, ギ ゲ, ギ ゲ, ギ ゲ, ギ ゲ ゲ, ギ ゲ ゲ; chơi; Môn thể thao
擬, ギ, ま が い も ど き, bắt chước; Mục tiêu (một khẩu súng) tại; Đề cử; theo gương
欺, ギ, あ ざ む く, lừa dối; lừa đảo; Lừa dối
犠, ギ キ, い け に え, hy sinh
義, ギ, sự công bình; Sự công bằng; đạo đức; tôn vinh; Lòng trung thành; Ý nghĩa
菊, キ ク ,, hoa cúc
吉, キ チ キ ツ, よ し, chúc may mắn; vui sướng; Xin chúc mừng
橘, キ ツ, た ち ば な, cam quýt
却, キ ャ ク, キ え ク, か え ク, か え り ぞ け る, thay vào đó; Ngược lại; hơn
脚, キ ャ ク キ ャ カ ク, あ し, trượt; Chân; Khung gầm
虐, ギ ャ ク, し い た げ る, trừng trị; Áp bức
丘, キ ュ ウ, お か, đồi; chuông kêu
及, キ ュ ウ, キ ュ ウ, キ ュ ウ, キ ュ ウ, tiếp cận; gắng sức; tập thể dục; nguyên nhân
宮, キ ュ ウ グ ウ ク ク ウ, み や, đền Shinto; Chòm sao; cung điện; công chúa
弓, キ ュ ウ, ゆ み, cung; Cung (bắn cung violin)
救, キ ュ ウ, す く う, sự cứu rỗi; tiết kiệm; Cứu giúp; Cứu hộ; Đòi lại
朽, キ ュ ウ, く ち る, phân rã; thúi; Vẫn ẩn dật
泣, キ ュ ウ, な く, khóc; Khóc; kêu van
窮, キ ュ ウ キ ョ ウ, キ ュ ウ キ キ ウ, キ ュ ュ, Nghèo khó; đau khổ; Lúng túng; Dồn vào
級, キ ュ ウ ,, lớp; cấp; cấp
糾, キ ュ ウ, た だ す, xoắn; hỏi; điều tra; kiểm chứng
拒, キ ョ ゴ, こ ば む, đẩy; Từ chối; Từ chối; từ chối
拠, キ ョ コ, よ る, đứng; dựa trên; theo; vì thế
挙, キ ョ, あ げ げ ョ ョ ョ る る る る る る る る る る る る る; kế hoạch; dự án; hành vi; Hành động
虚, キ ョ コ, む な し い う つ ろ, vô hiệu; Tánh không; Không chuẩn bị; Crack; Khe nứt; Không đúng
距, キ ョ ,, đường dài
亨, コ ウ キ ョ ウ ホ ウ, コ て ま つ る, trải qua; Trả lời (điện thoại); lấy; được; bắt lấy
享, キ ョ ウ コ ウ, う け る, tiếp nhận; trải qua; Trả lời (điện thoại); lấy; được; bắt lấy
凶, キ ョ ウ ,, nhân vật phản diện; tà ác; xui xẻo; thảm họa
匡, キ ョ ウ オ ウ, す く う, chính xác; tiết kiệm; hỗ trợ
喬, キ ョ ウ, た か い, cao; Tự hào
峡, キ ョ ウ コ ウ, は ざ ま, hẻm núi; Khe núi
恭, キ ョ ウ, う や う や し い, tôn trọng; Tôn kính
狂, キ ョ ウ, キ ョ ウ, キ ョ ウ, キ ョ ウ, điên cuồng; điên; khùng; nhầm lẫn
狭, キ ョ ウ コ ウ, キ ョ ウ ウ ウ, キ c c; hẹp; hợp đồng; Chặt chẽ
矯, キ ョ ウ, た め る, sửa chữa; Thẳng; chính xác; cải cách; chữa khỏi; điều khiển; giả vờ; Giả mạo
脅, キ ョ ウ, キ ウ ウ, キ ョ ウ, đe dọa; Ép buộc
興, コ ウ キ ョ ウ, コ こ る お こ す, giải trí; sống lại; lấy lại; quan tâm; vui lòng
郷, キ ョ ウ ゴ ウ, さ と, thị trấn gia đình; làng; quê quán; huyện
鏡, キ ョ ウ ケ イ, か が み, gương; Kim cương; Thùng đầu; Bánh tròn
響, キ ョ ウ, ひ び く, echo; Cũng N5116; âm thanh; Vang lên; nhẫn; rung
驚, キ ョ ウ, お ど ろ く お ど ろ か す, tự hỏi; Ngạc nhiên; Sợ hãi; Kinh ngạc
仰, ギ ョ ウ コ ウ, ギ お ぐ ぐ お し ゃ る, đối mặt; tra cứu; tùy theo; Tìm kiếm; sự tôn trọng; Rever; uống; lấy
凝, ギ ョ ウ, こ る こ ら ら ら ウ, こ con こ る; Đông cứng; Cứng; Được hấp thụ vào
尭, ギ ョ ウ, た か い, cao; xa
暁, ギ ョ ウ キ ョ ウ, あ ョ き き さ と る, ban ngày; Bình minh; trong sự kiện
桐, ト ウ ド ウ, き り, paulownia
錦, キ ン, に し き, thổ cẩm; Trang sức; danh dự
斤, キ ン, お の, rìu; 1,32 lb; Mệt mỏi
欣, キ ン ゴ ン コ ン, よ ン ゴ よ ろ こ び, hãy vui lên; hân hoan
欽, キ ン コ ン, つ つ し む, tôn trọng; Tôn trọng; Dài cho
琴, キ ン, こ と, harp; Koto
筋, キ ン, す じ, cơ; dây gân; gân; chất xơ; âm mưu; kế hoạch; hạ xuống
緊, キ ン ,, căng thẳng; chất rắn; cứng; Đáng tin cậy; Chặt chẽ
菌, キ ン ,, vi trùng; Nấm; vi khuẩn
襟, キ ン, え り, cổ áo; cái cổ; Lapel
謹, キ ン, つ つ し む, kín đáo; Tôn kính; Khiêm tốn
吟, ギ ン ,, versify; ca hát; Buổi trình diễn
句, ク ,, cụm từ; Khoản; kết án; đoạn văn; đoạn văn; Truy cập cho haiku
矩, ク, か ね か ね ざ し さ し が ね, người cai trị; Thợ mộc vuông
駆, ク, か け る か る, lái xe; chạy; Tráo trở; nâng cao; Truyền cảm hứng; xô
駒, ク, こ ま, ngựa; con ngựa; Con trăn
愚, グ, お ろ か, dại dột; Sự điên rồ; Vô lý; ngốc nghếch
虞, グ, お そ れ, sự không thoải mái; nỗi sợ; sự lo ngại; mối quan ngại
遇, グ ウ, あ う, phỏng vấn; đãi; giải trí; nhận được; đôi pho vơi
屈, ク ツ, か が む か が め る, năng suất; bẻ cong; Flinch; đệ trình
熊, ユ ウ, く ま, gấu
栗, リ ツ リ, く り お の の く, hạt dẻ
繰, ソ ウ, く る, quanh co; Reel; Quay; Lượt (trang); tra cứu; Tham khảo
桑, ソ ウ, く わ, dâu
勲, ク ン, い さ お, công đức; n: Xứng đáng
薫, ク ン, か お る, thơm; Được thơm; Hút thuốc (cừu)
郡, グ ン, こ う り, hạt; huyện
刑, ケ イ, hãy trừng phạt; Hình phạt; kết án; Hình phạt
啓, ケ イ, ひ ら く さ と す, tiết lộ; mở; Nói
圭, ケ イ ケ ,, đá vuông; góc; góc; cạnh
契, ケ イ, ち ぎ る, cam kết; Lời hứa; Lời thề
径, ケ イ, み ち こ イ, み さ イ イ わ わ ち に, đường kính; con đường; phương pháp
恵, ケ イ エ, め ぐ む め ぐ み, ケ; Phước lành; Ân sủng; Lòng tử tế
慶, ケ イ, よ ろ こ び, hoan hỷ; Chúc mừng em; hân hoan; Hãy hạnh phúc
慧, ケ イ エ, さ と い, khôn ngoan
憩, ケ イ, い こ い い こ う, chỗ nghỉ; nghỉ ngơi; thư giãn; Nghỉ ngơi
掲, ケ イ, か か げ る, đưa ra (một thông báo); Đóng gói; Hoist; trưng bày; đi chơi; công bố; miêu tả
携, ケ, 携, た, た, た イ, た る る る; Mang (trong tay); Trang bị; mang theo
桂, ケ イ, か つ ら, cây Giuđa Nhật Bản; Cây quế
渓, ケ イ, た に た に が わ, suối núi; Thung lũng
系, ケ イ, dòng dõi; Hệ thống
継, ケ イ, つ ぐ ま ま - kế thừa; Thành công; vá; Ghép (cây)
茎, ケ イ キ ョ ウ, く き, cuống; thân cây
蛍, ケ イ, ほ た る, sét đánh; con đom đóm
鶏, ケ イ, に わ と り と り, gà
鯨, ゲ イ, く じ ら, cá voi
撃, ゲ キ, う つ, đánh; tấn công; đánh bại; Chinh phục
激, ゲ キ, は げ し い, bạo lực; Phấn khích; Tức giận; Chafe; Kích động
傑, ケ ツ, greatness; xuất sắc
潔, ケ ツ, い さ ぎ よ い, chưa được định rõ; nguyên chất; dọn dẹp; Công bình; Dũng cảm
穴, ケ ツ, あ な, lỗ; Khẩu độ; Khe; hang; Den
結, ケ ツ ケ チ, む す ぶ ゆ う る, buộc; trói buộc; hợp đồng; tham gia; tổ chức; Làm tóc; đóng lại
倹, ケ ン, つ ま し い つ づ ま や か, tiết kiệm; nên kinh tê; Tiết kiệm
健, ケ ン, す こ や か, khỏe mạnh; Sức khỏe; sức mạnh; Sự kiên trì
兼, ケ ン, か ね る, đồng thời; Và
剣, ケ ン, つ る ぎ, saber; thanh kiếm; lưỡi; Mặt đồng hồ
圏, ケ ン, か こ い, quả cầu; vòng tròn; Bán kính; phạm vi
堅, ケ ン, か た い, nghiêm ngặt; cứng; chất rắn; khó khăn; Chặt chẽ; Đáng tin cậy
嫌, ケ ン ゲ ン, き ら う き ら い い や, không thích; Ghét; ghét bỏ
憲, ケ ン, hiến pháp; pháp luật
懸, ケ ン ケ, か け る か か る, đình chỉ; treo; 10%; cài đặt, dựng lên; tùy theo; Tư vấn
検, ケ ン, し ら べ る, kiểm tra; điều tra
献, ケ ン コ ン, た て ​​ま つ る, của lễ vật; Quầy đồ uống; hiện tại; phục vụ
絹, ケ ン, き ぬ, lụa
謙, ケ ン ,, self-effacing; Khiêm tốn; Hạ thấp; Khiêm tốn
遣, ケ ン, つ か う つ か わ, gửi; Gửi; đưa cho; Tặng; Làm; Thực hiện
鍵, ケ ン, か ぎ, chìa khóa
顕, ケ ン, あ き ら か あ ら わ れ る, xuất hiện; Hiện tại
厳, ゲ ン ン, 厳 ン ン, お ン ン ン; Nghiêm khắc; Mức độ nghiêm trọng; Tính cứng
幻, ゲ ン, ま ぼ ろ し, ảo giác; tầm nhìn; mơ tưởng; ảo giác; Xuất hiện
弦, ゲ ン, つ る, dây kéo; dây nhau; Sự huyền phù
源, ゲ ン, み な も と, nguồn; gốc
玄, ゲ ン ,, bí ẩn; Huyền bí
孤, コ ,, mồ côi; một mình
己, コ キ, お の れ つ ち の と, tự; con rắn; Rắn
弧, コ ,, arc; Vòm; cây cung
故, コ, ゆ え, xảy ra; đặc biệt; Cố tình; lý do; nguyên nhân; Hoàn cảnh; Cuối; vì thế; hậu quả là
虎, コ, と ら, hổ; Say rượu
誇, コ, ほ こ る, khoe khoang; tự hào; tự hào; Triumphantly
顧, コ, か え り み る, nhìn lại; ôn tập; Kiểm tra bản thân; quay lại
鼓, コ, つ づ み, trống; tiết tấu; Rouse; Tập họp
伍, ゴ, い つ つ, 5; 5 người đàn ông; tập tin; hàng
呉, ゴ, く れ る く れ, cho; Làm gì đó cho
吾, ゴ, わ れ わ が - あ -, tôi; Tôi; của chúng ta; của chính mình
娯, ゴ ,, giải trí; vui lòng
悟, ゴ, さ と る, giác ngộ; Nhận thức; Phân biệt; nhận ra; hiểu không
碁, ゴ ,, Go
護, ゴ, ま も る, bảo vệ; bảo vệ
鯉, リ, こ い, cá chép
侯, コ ウ ,, marquis; Chúa tể; Daimyo
公, コ ウ ク, お お や け, công cộng; Hoàng tử; chính thức; Chính phủ
功, コ ウ ク, い さ お, thành tích; Công đức; sự thành công; tôn vinh; tín dụng
后, コ ウ ゴ, き さ き, Nữ hoàng; nữ hoàng; sau; phía sau; trở lại; một lát sau
坑, コ ウ ,, hố; Hố
孔, コ ウ, あ な, khoang; Lỗ; Khe; rất; tuyệt quá; Cực kỳ
孝, コ ウ キ ョ ウ "hiếu thảo; Tôn trọng trẻ
宏, コ ウ, ひ ろ い, rộng; Lớn
巧, コ ウ, た く み た く む う ま い, khéo léo; Có kỹ năng; ngây thơ
康, コ ウ, dễ dàng; Hòa bình
弘, コ ウ グ, ひ ろ い, rộng lớn; rộng lớn; rộng
恒, コ ウ, つ ね つ ね に, hằng; luôn luôn
慌, コ ウ, あ わ て る あ わ た だ し い, bối rối; bị nhầm lẫn; Mất đầu
抗, コ ウ ,, confront; kháng cự; Thách thức; Phản đối
拘, コ ウ, か か わ る, bắt giữ; Tịch thu; liên quan; Tuân theo; Mặc dù
控, コ ウ, ひ か え る ひ か え, thu hồi; kéo vô; giữ lại; kiềm chế; Trung bình
攻, コ ウ, せ め る, xâm lược; tấn công
昂, コ ウ ゴ ウ, コ る る た た ウ, tăng lên
晃, コ ウ, あ き ら か, rõ ràng
江, コ ウ, え, lạch; Đầu vào; Bay
洪, コ ウ ,, trũng; Lũ; Rộng lớn
浩, コ ウ, お お き い ひ ろ い, rộng mở; Sự phong phú; Mạnh mẽ
溝, コ ウ, み ぞ, máng xối; Mương; cống thoát nước; Ráo nước; 10 ** 32
甲, コ ウ カ ン カ, き の え, áo giáp; Cao (giọng nói); Một lớp; Lớp 1; trước đây; Mu bàn chân; Carapace
皇, コ ウ オ ウ ,, hoàng đế
稿, コ ウ, わ ら し た が き, dự thảo; Sao chép; Bản thảo; Rơm rạ
紘, コ ウ, お お づ な つ な つ な ぐ, lớn
絞, コ ウ, し ぼ ぼ る る る, siết cổ; Co thắt; Vắt
綱, コ ウ, つ な, hawser; Lớp (chi); dây thừng; dây; cáp
衡, コ ウ ,, equilibrium; Thanh đo; tỉ lệ
貢, コ ウ ク, み つ ぐ, cống; ủng hộ; tài chính
購, コ ウ ,, đăng ký; mua
酵, コ ウ, lên men
鋼, コ ウ, は が ね, thép
項, コ ウ, う な じ, đoạn; gáy cổ; Khoản; mục; Thuật ngữ (biểu thức)
剛, ゴ ウ ,, sturdy; sức mạnh
拷, ゴ ウ ,, tra tấn; tiết tấu
豪, ゴ ウ, え ら い, vượt qua; tuyệt quá; quyền lực; Xuất sắc; Châu Úc
克, コ ク, か つ, vượt qua; Vui lòng; Khéo léo
穀, コ ク ,, ngũ cốc; ngũ cốc
酷, コ ク, ひ ど い, độc ác; Nghiêm trọng; gớm ghiếc; Bất công
