起, キ, お, お お こ こ キ キ キ キ, thức dậy; thức dậy
急, キ ュ ウ, い そ ぐ い そ ぎ, vội vàng; trường hợp khẩn cấp; đột nhiên; Dốc
究, キ ュ ウ ク, き わ め る, nghiên cứu; học
牛, ギ ュ ウ, う し, bò
去, キ ョ コ, さ る, biến mất; quá khứ; Bỏ; rời khỏi; trôi mau; Loại bỏ; ly hôn
魚, ギ ョ, う お さ か な, cá
京, キ ョ ウ ケ イ キ ン, み や こ, vốn; 10 ** 16
強, キ ョ ウ ゴ ウ, キ よ ウ, キ ウ ウ, mạnh mẽ
教, キ ョ ウ, お し え る お そ わ る, dạy; Đức tin; Học thuyết
業, ギ ョ ウ ゴ ウ, わ ざ, kinh doanh; Nghề nghiệp; nghệ thuật; hiệu suất
近, キ ン コ ン, ち か い, gần; sớm; Tương tự; tương đương
銀, ギ ン, し ろ が ね, bạc
空, ク ウ, ク ウ, ク ウ ウ, ク ウ ウ, ク ウ ウ, ク ウ ウ, ク. Bầu trời; Vô hiệu; Bỏ trống; Khoảng chân không
兄, ケ イ キ ョ ウ, あ に, anh trai; anh cả
計, ケ イ, は か る は か ら う, âm mưu; kế hoạch; kế hoạch; đo
建, ケ ン コ ン, た て ​​る た て た つ, xây dựng
犬, ケ ン, い ぬ い ぬ -, con chó
研, ケ ン, と ぐ, đánh bóng; Nghiên cứu; Làm sắc nét hơn
験, ケ ン ゲ ン, ケ か ン ゲ ン, xác minh; hiệu ứng; Thử nghiệm
元, ゲ ン ガ ン, も と, bắt đầu; Thời gian trước; gốc
言, ゲ ン ゴ ン, い う こ と, nói
古, コ, ふ る い ふ る - cũ
口, コ ウ ク, く ち, miệng
工, コ ウ ク グ ,, nghề thủ công; xây dựng
広, コ ウ, 広 ウ ウ ウ ウ ウ ウ ウ, rộng lớn; Rộng rãi
考, コ ウ, か ん が え る か ん が え, xem xét; Suy nghĩ
黒, コ ク, く ろ く ろ ず む, đen
作, サ ク サ, つ く る つ く り, làm; sản xuất; chuẩn bị; xây dựng
仕, シ ジ, つ か え る, tham dự; đang làm; chính thức; Phục vụ
使, シ, つ か う つ か い, sử dụng
始, シ, は じ め る は じ ま る, bắt đầu; Bắt đầu
姉, シ, あ ね は は, chị gái
思, シ, お も う お も え ら く お ぼ す, nghĩ
止, シ, シ, と ま ま ま ま シ シ シ シ シ シ シ, dừng lại; tạm dừng lại
死, シ, し ぬ し に - chết; chết
私, シ, わ た く し わ た し, tư nhân; TÔI; tôi
紙, シ, か み, giấy
試, シ, こ こ ろ み る た め す, kiểm tra; thử; Cố gắng; thí nghiệm; thử thách
事, ジ ズ, こ と つ か う つ か え る, vật chất; Điều; thực tế; kinh doanh; lý do; Có thể
字, ジ, あ ざ あ ざ な, nhân vật; lá thư; Từ; Phần của làng
持, ジ, も つ も て る, giữ; Có
自, ジ シ, み シ, み シ, み シ, み シ, み シ, ジ シ
室, シ ツ, む ろ, phòng; căn hộ, chung cư; Phòng; nhà kính; hầm
質, シ ツ シ チ チ, シ ツ た だ チ ふ, chất; phẩm chất; vấn đề; tính cách
写, シ ャ ジ ャ, シ つ す う つ - う つ し, sao chép; Được chụp ảnh; miêu tả
社, シ ャ, や し ろ, công ty; chắc chắn; Văn phòng; Hiệp hội; Đền thờ
者, シ ャ, も の, ai đó; người
借, シ ャ ク, か り る, mượn; thuê
主, シ ュ ス シ ュ ウ, ぬ ュ も あ る じ, chúa; Giám đốc; bậc thầy; điêu chinh; hiệu trưởng
手, シ ュ ズ, て て - た - tay
秋, シ ュ ウ, あ き と き, mùa thu
終, シ ュ ウ, お わ る い つ い ウ, kết thúc; hoàn thành
習, シ ュ ウ ジ ュ, な ら う な ら い, học
週, シ ュ ウ ,, tuần
集, シ ュ ウ, あ つ ま る う, シ あ ど う, tụ tập; gặp; Tụ họp; họp lại; Chiên
住, ジ ュ ウ ウ ヂ ウ ウ, ジ ュ ウ, cư trú tại; trực tiếp; trú ngụ
重 重 Thêm bài này vào danh sách Video của bạn Download bài này 重chồng lên; Đống; Tổ của hộp; -gập lại
春, シ ュ ン, は る, mùa xuân; mùa xuân)
少, シ ョ ウ, す く な い す こ し, ít; ít
場, ジ ョ ウ チ ョ ウ, ば, vị trí; địa điểm
色, シ ョ ク シ キ, い ろ, màu
心, シ ン, こ こ ろ り っ し ん べ ん, trái tim; lí trí; Tinh thần
新, シ ン, あ た ら し い あ ら た あ ら - に い -, mới
真, シ ン, ま ま - ま こ と, đúng; thực tế; Phái Phật giáo
親, シ ン, お や お や - し た し い し た し む, cha mẹ; Sự gần gũi; quan hệ; Quen thuộc; Đại lý (thẻ)
図, ズ ト, え は か る, bản đồ; Bản vẽ; kế hoạch; bất ngờ; Vô tình
世, セ イ セ ソ ウ, よ さ ん じ ゅ う, thế hệ; Thế giới; xã hội; công cộng
正, セ イ シ ョ ウ, セ イ シ ョ ウ, đúng; Sự công bằng; Công bình; 10 ** 40
青, セ イ シ ョ ウ, あ お あ お - あ お い, màu xanh; màu xanh lá
赤, セ キ シ ャ ク, あ キ ャ か, あ か あ か - あ か い あ か る, màu đỏ
切, セ ツ サ イ, き る き き イ, cắt; Sắc nét
早, ソ ウ サ ッ, は や い は や は や -, sớm; Nhanh
走, ソ ウ, は し る, chạy
送, ソ ウ, お く る, hộ tống; Gửi
足, ソ ク, あ し た り る た る た す, chân; chân; đầy đủ; Đế cho giày dép
族, ゾ ク ,, bộ lạc; gia đình
多, タ, お お い ま さ に ま さ る, nhiều; Thường xuyên; Nhiều
体, タ イ テ イ, か ら だ か た ち, cơ thể; vật chất; vật; thực tế; Truy cập cho hình ảnh
待, タ イ, ま つ, chờ đợi; phụ thuộc vào
貸, タ イ, か す か し - か し - cho vay
代, ダ イ タ イ, か わ わ か イ イ, か わ り か し イ, thay thế; thay đổi; đổi; thay thế; giai đoạn; tuổi tác; Thế hệ; sạc điện; tỷ lệ; chi phí
台, ダ イ タ イ, う て な わ れ つ か さ, bệ; Đứng; Máy đếm cho máy và xe
題, ダ イ ,, chủ đề; môn học
知, チ, し る し ら せ る, biết; sự khôn ngoan
地, チ ジ ,, mặt đất; trái đất
茶, チ ャ サ ,, trà
着, チ ャ ク ジ ャ ク, チ ャ ャ ク ジ け る, チ ャ ャ ャ ク, đến nơi; mặc; Truy cập cho phù hợp với quần áo
昼, チ ュ ウ, ひ る, ban ngày; Trưa
注, チ ュ ウ, そ そ ぐ さ す つ ぐ, đổ; Tưới; rơi lệ); Chảy vào; tập trung vào; Ghi chú; bình luận; Chú thích
朝, チ ョ ウ, あ さ, buổi sáng; Triều đại; Chế độ; Kỷ nguyên; giai đoạn; (Bắc) Hàn Quốc
町, チ ョ ウ, ま ち, làng; thị trấn; khối; đường phố
鳥, チ ョ ウ, と り, chim; gà
通, ツ ウ ツ, と お る と ツ, と お す す よ う, giao thông; Đi qua; Đại lộ; Đi làm; Truy cập thư
弟, テ イ ダ イ デ, お と う と, em trai; Dịch vụ sai lầm đối với người cao tuổi
店, テ ン, み せ た な, cửa hàng; cửa tiệm
転 転 ン ン ン ン, quay lại; thay đổi
田, デ ン, た, ruộng lúa; cánh đồng lúa
度, ド ト タ ク, た び, độ; Sự xuất hiện; thời gian; Truy cập cho các sự cố
冬, ト ウ, ふ ゆ, mùa đông
答, ト ウ, こ た え る こ た え, giải pháp; câu trả lời
動, ド ウ, う ご く う ご か す, di chuyển; Chuyển động; thay đổi; sự nhầm lẫn; Thay đổi; Lắc
同, ド ウ, お な じ, cùng; đồng ý; công bằng
堂, ド ウ ,, phòng công cộng; đại sảnh
道, ド ウ ト ウ, み ち, đường bộ; đường phố; huyện; hành trình; khóa học; Đạo đức; Giáo lý
特, ト ク ,, đặc biệt
肉, ニ ク ,, thịt
買, バ イ, か う, mua
売, バ イ, う る う れ る, bán
発, ハ ツ ホ ツ, た つ つ あ か ツ, xả; Khởi hành; công bố; Phát ra; bắt đầu từ; Tiết lộ
飯, ハ ン, め し, bữa ăn; Gạo luộc
病, ビ ョ ウ ヘ イ, や む や ま い, bệnh; đau ốm
品, ヒ ン ホ ン, し な, hàng hoá; Sàng lọc; Phẩm giá; bài báo; Quầy cho các khóa học bữa ăn
不, フ ブ ,, phủ định; Không; xấu; xấu xí; hậu đậu
風, フ ウ フ, か ぜ か ざ -, gió; không khí; Phong cách; cách thức
服, フ ク ,, quần áo; Thừa nhận; Vâng lời; phóng điện
物, ブ ツ モ ツ, も の も の -, điều; vật; vấn đề
文, ブ ン モ ン, ふ み あ や, câu; văn chương; Phong cách; nghệ thuật; Trang trí; số liệu; kế hoạch
別, ベ ツ, わ か れ る わ け る, riêng; Chi nhánh off; phân ra; cái nĩa; khác; thêm; Đặc biệt
勉, ベ ン, つ と め る, nỗ lực
歩, ホ ブ フ, あ る く あ ゆ む, đi bộ; Truy cập các bước
方, ホ ウ, か た, hướng; người; thay thế
妹, マ イ, い も う と, em gái
味, ミ, あ じ あ じ わ う, hương vị; nếm thử
明, 明 ン ン, メánh sáng
目, モ ク ボ ク, め ま -, mắt; lớp học; nhìn; Hiểu biết; kinh nghiệm; quan tâm; ủng hộ
問, モ ン, と う と い と ん, câu hỏi; hỏi; vấn đề
夜, ヤ, よ よ る, ban đêm; tối
野, ヤ シ ョ, の の - đồng bằng; cánh đồng; Mộc mạc; Cuộc sống dân sự
有, ユ ウ ウ, あ る, sở hữu; Có; hiện hữu; Xảy ra; Xảy ra; Khoảng
夕, セ キ, ゆ う, buổi tối
曜, ヨ ウ ,, weekday
洋, ヨ ウ ,, đại dương; phong cách phương Tây
用, ヨ ウ, も ち い る, sử dụng; kinh doanh; dịch vụ; sử dụng; thuê
理, リ, こ と わ り, logic; sắp xếp; lý do; Sự công bằng; Sự thật
立, リ ツ リ ュ ウ リ - た て る た て - た て - đứng lên
旅, リ ョ, た び, chuyến đi; du lịch
料, リ ョ ウ ,, lệ phí; nguyên vật liệu
力, リ ョ ク リ キ リ イ, ち か ら, điện; mạnh; sự căng thẳng, quá tải; chịu đựng vơi; gắng sức
