愛, ア イ, い と し い, tình yêu; Tình cảm; Yêu thích
完, カ ン, hoàn hảo; hoàn thành; kết thúc
官, カ ン ,, quan chức; chính phủ
干, カ ン, ほ す ほ し - ひ る, khô; phơi
患, カ ン, わ ず ら う, đau khổ; dịch bệnh; Đau khổ; bị bệnh
感, カ ン ,, cảm xúc; cảm giác; Cảm giác
慣, カ ン, な れ る な ら す, quen thuộc; Làm quen với; Trở nên giàu kinh nghiệm
換, カ ン, か え る か わ る, trao đổi; giai đoạn; sạc điện; thay đổi?
汗, カ ン, あ せ, mồ hôi; Mồ hôi
甘, カ ン, あ ン, あ ン, あ ンDỗ; Nuông chiều; Được nội dung; Ngọt
管, カ ン, く だ, ống; Ống; Dụng cụ gió; Say rượu nói chuyện
簡, カ ン, đơn giản; Ngắn gọn
缶, カ ン, か ま, hộp thiếc; thùng đựng hàng
観, カ ン, み る し め す, triển vọng; nhìn; xuất hiện; điều kiện; lượt xem
関, カ ン, せ き か ン ン, kết nối; rào chắn; Cổng; liên quan; Có liên quan
丸, ガ ン, ま る ま ま ン, đầy; tháng; Sự hoàn hảo; -tàu; thuốc; Làm tròn; Cuộn lên; cuộn lại; Quyến rũ; Giải thích đi
含, ガ ン, ふ く む ふ く め る, bao gồm; Ghi nhớ; hiểu không; Yêu mến
岸, ガ ン, き し, bãi biển
岩, ガ ン, い わ, boulder; đá; Vách đá
顔, ガ ン, か お, khuôn mặt; biểu hiện
願, ガ ン, ね が う, đơn khởi kiện; yêu cầu; Nguyện; muốn; mong
危, キ, あ, あ, あ, あ ぶ キ, nguy hiểm; nỗi sợ; Khó chịu
喜, キ, よ ろ こ ぶ よ ろ こ ば す, vui mừng; Thưởng thức
寄, キ, よ る よ せ る, đến gần; dừng lại ở; Đưa gần; tụ họp; sưu tầm; Gửi; phía trước
希, キ ケ, ま れ, hy vọng; ăn xin; yêu cầu; Cầu nguyện; Cầu xin; Hy Lạp; Pha loãng (axit); hiếm; vài; Phi thường
幾, キ, い く - い く つ い く ら, bao nhiêu; bao nhiêu; bao xa; bao lâu
机, キ, つ く え, bàn; bàn
期, キ ゴ ,, period; thời gian; ngày; kỳ hạn
機, キ, は た, cơ chế; Cơ hội; dịp; máy móc; Máy bay
祈, キ, い の る, cầu nguyện; muốn
季, キ ,, mùa
規, キ ,, tiêu chuẩn; đo
記, キ, し る す, ký giả; tài khoản; Tường thuật
技, ギ, わ ざ, kỹ năng; nghệ thuật; Nghề thủ công; có khả năng; Feat; hiệu suất; Nghề nghiệp; nghệ thuật
疑, ギ, う た が う, nghi ngờ; Không tin tưởng; Nghi ngờ; Câu hỏi
議, ギ ,, tranh luận; Tư vấn; tranh luận; Xem xét
喫, キ ツ ,, tiêu thụ; ăn; uống; hút thuốc lá; Nhận được (một đòn)
詰, キ ツ キ チ, キ る る, キ つ る つ む, đóng gói; gần; Ép; Khiển trách; Quở trách; khiển trách
客, キ ャ ク カ ク ,, khách; khách thăm quan; khách hàng; Khách hàng
逆, ギ ャ ク ゲ キ, ギ か さ か ら う, đảo ngược; đảo ngược; đối diện; Ác độc
久, キ ュ ウ ク, ひ さ し い, thời gian dài; câu chuyện cũ
吸, キ ュ ウ, す う, suck; Hấp thụ; Hít phải; một hớp
求, キ ュ ウ グ, も と め る, yêu cầu; Muốn; hi vọng rằng; Yêu cầu; nhu cầu
球, キ ュ ウ, た ま, quả bóng; quả cầu
給, キ ュ ウ, た ま う た も う, tiền lương; Tiền lương; quà tặng; Cho phép; ban cho; Ban cho
旧, キ ュ ウ, ふ る い も と, thời xưa; Những điều cũ; bạn cũ; trước đây; Ex-
居, キ ョ コ, い る お る, trú ngụ; được; hiện hữu; sống chung với
巨, キ ョ ,, khổng lồ; Lớn; Lớn; tuyệt quá
許, キ ョ, ゆ る す も と, giấy phép; tán thành
漁, ギ ョ リ ョ ウ, あ さ る, câu cá; Ngư nghiệp
供, キ ョ ウ ク ク ウ グ, nộp; phục vụ; hiện tại; Phục vụ (bữa ăn); Đi kèm
競, キ ョ ウ ケ イ, き そ う せ る, thi đua; Cạnh tranh với; BID; Bán đấu giá; Bout; Cuộc thi; cuộc đua
共, キ ョ ウ, と も と も に cùng nhau; Cả hai; cũng không; tất cả các; Và; như nhau; với
協, キ ョ ウ ,, co-; Hợp tác
叫, キ ョ ウ, さ け ぶ, hét lên; kêu lên; Hét lên
境, キ ョ ウ ケ イ, さ か い, ranh giới; biên giới; khu vực
恐, キ ョ ウ, キ そ ウ, キ ョ ウ, キ ョ ウ, kinh sợ; Awe
挟, キ ョ ウ シ ョ ウ, キ ョ ョ ウ, は さ ウ ウ ウ, giữa
橋, キ ョ ウ, は し, cầu
況, キ ョ ウ, ま し て い わ ん や き, điều kiện; tình hình
胸, キ ョ ウ, む ね む な -, ngực; nhũ hoa; Ngực; tim; Cảm xúc
局, キ ョ ク, つ ぼ ね, phòng; bảng; Văn phòng; Công việc; phần kết luận; Nữ phu nhân; Phụ nữ đang chờ; Căn hộ của cô
曲, キ ョ ク, ま が る ま げ る, uốn cong; Âm nhạc; giai điệu êm ái; thành phần; vui lòng; Bất công; lỗi; đường cong; quanh co; Đồi bại; Nạc
極, キ ョ ク ゴ ク, キ ク ク, キ ク ク, キGiải quyết; phần kết luận; kết thúc; Xếp hạng cao nhất; Cột điện; rất; vô cùng; phần lớn; Cao; 10 ** 48
玉, ​​ギ ョ ク, た ま た ま -, đồ trang sức; trái bóng
勤, キ ン ゴ ン, キ ン ン ン, キ ン ン ゴ む, siêng năng; Trở thành làm việc; Phục vụ
均, キ ン, な ら す, mức; Trung bình cộng
禁, キ ン ,, cấm; lệnh cấm; ngăn cấm
区, ク オ ウ コ ウ ,, phường; huyện
苦, ク, ク, く る し し い め る る し が る, đau khổ; thử nghiệm; lo; Khó khăn; Cảm thấy cay đắng; Cau có
具, グ, そ な え る つ ぶ さ に, công cụ; Dụng cụ; có nghĩa; Sở hữu; Thành phần; Bộ đếm cho bộ áo giáp bộ đồ nội thất
偶, グ ウ, た ま, vô tình; số chẵn; Cặp vợ chồng; Người đàn ông & vợ; cùng loại
隅, グ ウ, す み, góc; Nook
掘, ク ツ, ほ る, đào; Đào sâu; Khai quật
靴, カ, く つ, giày
君, ク ン, き み, cậu bé; Tên-hậu tố
訓, ク ン キ ン, ク し え る よ る, chỉ thị; Đọc chữ của người Nhật; giải trình; đọc
群, グ ン, む れ る む れ む ら む, đàn chiên; nhóm; Đám đông; bầy đàn; họp lại; Cụm
軍, グ ン ,, quân đội; lực lượng; Quân đội; Chiến tranh; Chiến đấu
係, ケ イ, か か る か か り か か わ る, người phụ trách; Kết nối; nhiệm vụ; Quan tâm
傾, ケ イ, か イ イ イ イ イ イ イ. Nghiêng; Nghiêng; khuynh hướng; Suy yếu; bồn rửa; Tàn phá; Sự thiên vị
型, ケ イ, か た, khuôn; kiểu; mô hình
形, ケ イ ギ ョ ウ, か た か た ち な り, hình dạng; hình thức; Phong cách
敬, ケ イ キ ョ ウ, う や ま う, awe; sự tôn trọng; tôn vinh; Tôn kính
景, ケ イ ,, phong cảnh; lượt xem
経, ケ イ キ ョ ウ, ケ イ イ キ ョ ウ, ケ イ ウ キ ウ ウ, Kinh độ; Vượt qua; hết hiệu lực; làm cong
警, ケ イ, い ま し め る, lưu ý; Sự truyền giáo
軽, ケ イ, か イ, か イ, か イ, か イ, か イ, か イ, か イ, Trifling; Không quan trọng
芸, ゲ イ ウ ン, う え る の り わ ざ, kỹ thuật; nghệ thuật; Nghề thủ công; hiệu suất; Diễn xuất; lừa; Stunt
迎, ゲ イ, む か え る, chào đón; gặp; Chào
劇, ゲ キ ,, kịch; chơi
欠, ケ ツ ケ ン, か け る か く あ く び, thiếu; lỗ hổng; Thất bại
決, ケ ツ, き め る き ま る さ く, quyết định; sửa chữa; thỏa thuận; bổ nhiệm
血, ケ ツ, ち, máu
件, ケ ン, く だ ん, vụ; Trường hợp; vấn đề; mục
券, ケ ン ,, vé
権, ケ ン ゴ ン, お も り か る, thẩm quyền; quyền lực; Quyền
県, ケ ン, か け る, prefecture
肩, ケ ン, か た, vai
賢, ケ ン, か し こ い, thông minh; khôn ngoan; sự khôn ngoan; Khéo léo
軒, ケ ン, の き, căn hộ; Quầy cho nhà ở; Mái vòm
険, ケ ン, け わ し い, cao chót vót; Nơi không thể tiếp cận; Vị trí bất khả xâm phạm; Nơi dốc đứng; Đôi mắt sắc bén
原, ゲ ン, は ら, đồng cỏ; nguyên; Nguyên thủy; cánh đồng; trơn; Đồng cỏ; Tundra; Hoang dã
減, ゲ ン, へ る へ ら す, giảm dần; giảm bớt; giảm; từ chối; Cạn; thấy đói
現, ゲ ン, あ ら わ れ る あ ら わ す, hiện tại; Hiện tại; Thực tế
限, ゲ ン, か ぎ る か ぎ り, giới hạn; Hạn chế; Tốt nhất của khả năng
個, コ カ ,, cá nhân; Quầy vật dụng và các đơn vị quân đội
呼, コ, よ ぶ, gọi; Gọi cho; mời gọi
固, コ, か た た め る い コ, cứng; bộ; Cục máu đông; Quằn quại
庫, コ ク, く ら, nhà kho; Nhà kho
戸, コ, と, cửa
枯, コ, か れ る か ら す, héo; chết; làm thinh; Được dày dạn
湖, コ, み ず う み, hồ
雇, コ, や と う, sử dụng; thuê mướn
互, ゴ, た が い か た み に, cùng nhau; Đối ứng; cùng với nhau
御, ギ ョ ゴ, お ん - お - み -, danh dự; vận dụng; quản lý
誤, ゴ, あ や ま る, nhầm; Err; làm điều sai trái; Lừa dối
交, コ ウ, ま じ じ じ ウ ウ る, Trộn; Hiệp hội; Sắp tới và đi
候, コ ウ, そ う ろ う, khí hậu; Mùa; Thời tiết
光, コ ウ, ひ か る ひ か り, tia; ánh sáng
効, コ ウ, き く き き め な ら う, công đức; Hiệu quả; Hiệu quả; lợi ích
厚, コ ウ, あ つ い あ か, dày; nặng; giàu có; loại; Thân mật; Brazen; Không biết xấu hổ
向, コ ウ, む む む い い い ウ う い い い い い い い いPhải đối mặt; vượt ra ngoài; Đối đầu; Thách thức; Có xu hướng; tiếp cận
好, コ ウ, こ の む す く ウ, thích; Làm hài lòng; Như cái gì đó
幸, コ ウ, さ い わ い さ ち し あ わ せ, hạnh phúc; Phước lành; vận may
更, コ ウ, さ ら さ ら に ふ け す, phát triển trễ; Canh gác đêm; Ngồi dậy muộn; tất nhiên
構, コ ウ, か ま え る か ま う, tư thế; xây dựng; giả vờ
港, コ ウ, み な と, bến cảng
硬, コ ウ, か た い, cứng; cứng
紅, コ ウ ク, べ に く れ な い, màu đỏ thẫm; màu đỏ đậm
耕, コ ウ, た が や す, đến; Cày ruộng; Tu luyện
肯, コ ウ, が え ん じ る, thỏa thuận; bằng lòng; Tuân theo
航, コ ウ, điều hướng; cánh buồm; Hành trình; bay
荒, コ ウ, あ ら い あ ら - gây lãng phí; thô; thô lỗ; hoang dã
講, コ ウ ,, lecture; câu lạc bộ; Hiệp hội
郊, コ ウ ,, ngoại ô; Ngoại ô; khu vực nông thôn
鉱, コ ウ, あ ら が ね, khoáng sản; Quặng
降, コ ウ ゴ, お り ゴ ゴ ゴ, お り ゴ ゴ. Kết tủa; ngã; đầu hàng
香, コ ウ キ ョ ウ, か か お り か お る, hương; mùi; Nước hoa
号, ゴ ウ, さ け ぶ よ び な, biệt danh; con số; mục; chức vụ; Bút danh; Tên; Gọi
合, ゴ ウ ガ ッ カ ッ, ゴ ウ ガ ッ カ ッ, あ ウ あ わ せ る, phù hợp; bộ đồ; tham gia; 0,1
刻, コ ク, き ざ む き ざ み, khắc; Cắt giảm tiền phạt; chặt; Băm; Mince; thời gian; chạm khắc
告, コ ク, つ げ る, mặc khải; nói; thông báo; Thông báo
腰, ヨ ウ, こ し, loins; hông; Eo; Ván lót thấp
骨, コ ツ, ほ ね, bộ xương; khúc xương; Vẫn còn; khung
込, こ む こ み こ め る, đông đúc; Hỗn hợp; với số lượng lớn; Bao gồm; (Kokuji)
困, コ ン, こ ま る, lúng túng; Trở nên đau khổ; Khó chịu
婚, コ ン ,, hôn nhân
根, コ ン, ね, gốc; cấp tiến, căn nguyên; Đầu (mụn trứng cá)
混, コ ン, ま じ る ま む, trộn; trộn; nhầm lẫn
差, サ, さ す さ し, phân biệt; Sự khác biệt; Biến thể; Sự khác biệt; Lợi nhuận; cân đối
査, サ ,, điều tra
砂, サ シ ャ, す な, cát
座, ザ, す わ る, ngồi xổm; ghế; gối; thu thập; Ngồi
再, サ イ サ, ふ た た び, một lần nữa; Hai lần; lần thứ hai
最, サ イ シ ュ, も っ と も つ ま, tối đa; phần lớn; cực
妻, サ イ, つ ま, vợ; Vợ / chồng
才, サ イ ,, thiên tài; tuổi
採, サ イ, と る, chọn; lấy; Lấy; nhặt lên
歳, サ イ セ イ, と し と せ よ わ い, cuối năm; tuổi tác; dịp; Cơ hội
済, サ イ セ イ, サ イ セ イ, サ イ セ イ, サ イ セ イ, サ イ イ イ る, kết thúc; Kết thúc; Excusable; không cần
祭, サ イ, ま つ る ま つ り ま つ り, lễ nghi; Cầu nguyện; ăn mừng; Deify; Bảo trì; tôn sùng
細, サ イ, サ イ, サ イ, サ イ イ イ, Nhận được mỏng; Taper; mảnh khảnh; hẹp
菜, サ イ, な, rau; Món ăn phụ; Cây xanh
際, サ イ, き わ, nhân dịp; bên; cạnh; Vách; nguy hiểm; phiêu lưu; Không đứng đắn; thời gian; khi nào
在, ザ イ, あ る, tồn tại; Ngoại ô; Ngoại ô; nằm ở
材, ザ イ ,, gỗ; Log; Gỗ; Gỗ; năng lực
罪, ザ イ, つ み, tội lỗi; tội; tội ác; lỗi; khiển trách; xúc phạm
財, ザ イ サ イ ゾ ク, tài sản; tiền bạc; sự giàu có; tài sản
坂, ハ ン, さ か, độ dốc; Nghiêng; đồi núi
咲, シ ョ ウ, さ く, nở hoa; hoa
昨, サ ク ,, ngày hôm qua; Trước
冊, サ ツ サ ク, ふ み, tome; Truy cập sách; âm lượng
刷, サ ツ, す る は く, in; in
察, サ ツ ,, đoán; Đoán; Giả thuyết; thẩm phán; hiểu không
札, サ ツ, ふ だ, thẻ; tiền giấy; Truy cập trái phiếu; Biển báo; BID
殺, サ, サ ツ サ イ セ ツ, こ ろ す そ ぐ, giết; Giết người; Người bán thịt; Lát ra; Tách; Giảm; giảm; Hư hỏng
雑, ザ ツ ゾ ウ, ま じ え る ま じ る, linh tinh
皿, ベ イ, さ ら, món ăn; Một sự giúp đỡ; đĩa
参, サ ン シ ン, ま い る ま い - ま じ わ る み つ, không tán sắc; số ba; đang đi; đang đến; Thăm; chuyến thăm; Bị đánh bại; chết; Điên dại trong tình yêu
散, サ ン, ち る る ち ち ば ら, rải rác; Phân tán; tiêu; Lãng phí
産, サ ン, う む う ま れ る う ぶ - む す, sản phẩm; chịu; Sinh con; Năng suất; Sinh con; tự nhiên; bất động sản
算, サ ン, そ ろ, tính toán; Divining; con số; Bàn tính; Xác suất
賛, サ ン, た す け る た た え る, phê duyệt; Khen ngợi; Tiêu đề hoặc hình khắc trên ảnh; hỗ trợ; đồng ý với
残, ザ ン サ ン, ザ ン サ ン, ザ ン サ ン, ザ こ こ こ ン, còn lại; thức ăn thừa; cân đối
伺, シ, う か が う, tôn trọng; chuyến thăm; hỏi; Hỏi; Câu hỏi; Khẩn cầu
刺, シ, さ, さ す さ さ る し げ, gai; khoan; cú đâm; đâm; Sting; thẻ điện thoại
史, シ ,, lịch sử; Biên niên sử
市, シ, い ち, thị trường; Thành phố; thị trấn
師, シ ,, chuyên gia; giáo viên; bậc thầy; quân đội; Chiến tranh
指, シ, ゆ び さ す, ngón tay; điểm đến; biểu thị; bỏ vào; chơi cờ); Đo lường (thước đo)
支, シ, シ, シ, シ, シ, シ, シ, シ, シủng hộ; duy trì
枝, シ, え だ, cây gai; chi nhánh; Gai; chân tay
糸, シ, い と, sợi
脂, シ, あ ぶ ら, mỡ; dầu mỡ; Mỡ; Mỡ lợn; Rosin; kẹo cao su; Dầu hắc ín
詞, シ ,, một phần của bài phát biểu; từ ngữ; thơ phú
誌, シ ,, tài liệu; Hồ sơ
資, シ ,, tài sản; tài nguyên; thủ đô; Quỹ; dữ liệu; Có lợi cho; đóng góp vào
歯, シ, シ, よ, シ, シ シrăng cưa
似, ジ, に る ひ る, trở thành; Giống; Giả mạo; theo gương; thích hợp
児, ジ ニ ゲ イ, こ, trẻ sơ sinh mới sinh; đứa trẻ; Trẻ của động vật
寺, ジ, て ら, chùa
次, ジ シ, つ ぐ つ ぎ, tiếp theo; gọi món; Trình tự
治, ジ チ, お さ め る な お す, trị vì; Được bình an; bình tĩnh; Hạ mình; Quell; Govt; chữa khỏi; chữa lành; qui định; Bảo tồn
示, ジ シ, し め す, hiển thị; biểu thị; chỉ ra; bày tỏ; trưng bày
耳, ジ, み み, tai
辞, ジ, や め る, từ chức; Từ; kỳ hạn; biểu hiện
式, シ キ ,, phong cách; Lễ; Nghi lễ; Fn; phương pháp; Hệ thống; hình thức; Expr
失, シ ツ, う し な う う せ る, mất; lỗi; lỗi; bất lợi; Mất mát
湿, シ ツ シ ュ ウ, し ツ ウ, し, ướt; Ẩm ướt
実, ジ ツ シ ツ, み み の の る ま ツ, thực tại; Sự thật
捨, シ ャ, す て る, loại bỏ; vứt đi; Bỏ; Từ chức; Từ chối; sự hy sinh
若, ジ ャ ャ ク ャ ャ, ジ ャ ャ ャ ャ, nếu; có lẽ; Có thể; Số thấp; Chưa trưởng thành
弱, ジ ャ ク, よ わ い ク, よ わ ャ ク, よ わ ャ ク ク, yếu; Yếu ớt
取, シ ュ, と る と り と り - と り, đi; Lấy; nhặt lên
守, シ ュ ス, ま も る ま も り ス, bảo vệ; bảo vệ; phòng thủ; Vâng lời
種, シ ュ, た ね, loài; loại; lớp học; đa dạng; Hạt giống
酒, シ ュ, さ け さ か -, sake; rượu
首, シ ュ, く び, cổ
受, ジ ュ, う け る う か る, chấp nhận; trải qua; Trả lời (điện thoại); lấy; được; bắt lấy; nhận được
収, シ ュ ウ, お さ め る お さ ま る, thu nhập; đạt được; gặt hái; trả; cung cấp; cửa hàng
周, シ ュ ウ, ま わ り, chu vi; Mạch; Vòng
州, シ ュ ウ ス, す, nhà nước; tỉnh
拾, シ ュ ウ ジ ュ ウ, ひ ろ う, nhặt; tụ họp; tìm thấy; đi bộ; mười
舟, シ ュ ウ, ふ ね ふ な -, thuyền; tàu
柔, ジ ュ ウ ニ ュ ウ, や ュ ウ ニ ュ ウ, や ュ わ ニ わ ウ; yếu đuối; Dịu dàng; Sự mềm mại
宿, シ ュ ク, や ど や ど る や ど す, quán trọ; Chỗ ở; Trạm tiếp sức; Ở; lều; mang thai; nhà; trú ngụ
祝, シ ュ ク シ ュ ウ, い わ う, ăn mừng; Chúc mừng em
術, ジ ュ ツ, す べ, nghệ thuật; kỹ thuật; kỹ năng; có nghĩa; lừa; tài nguyên; ma thuật
述, ジ ュ ツ, の べ る, đề cập đến; tiểu bang; nói; Quan hệ
準, ジ ュ ン, ジ ゅ ん ん じ る じ ン ン, 準 ん ん ん ン ン ン ン, tương ứng với; Tương xứng; theo; theo gương
純, ジ ュ ン ,, chính hãng; Tinh khiết; Vô tội; lợi nhuận ròng)
順, ジ ュ ン, tuân theo; gọi món; xoay; đúng; Sự ngoan ngoãn; dịp
処, シ ョ, と こ ろ お る, vứt bỏ; Quản lý; đôi pho vơi; kết án; Lên án; Hành động; hành xử; địa điểm
初, シ ョ, は じ め は じ て て は う つ - Lần đầu tiên; Bắt đầu
所, シ ョ, と こ ろ ど こ ろ と こ, địa điểm
緒, シ ョ チ ョ, お い と ぐ ち, thong; Bắt đầu; khởi đầu; kết thúc; dây; dây đeo
署, シ ョ, chữ ký; Văn phòng chính phủ; đồn cảnh sát
諸, シ ョ, も ろ, khác; Nhiều; một số; cùng với nhau
助, ジ ョ, た ョ ョ, た ョ ョ, た ョ ョ ョ け け け け け け け け け け け け け. Cứu hộ; hỗ trợ
除, ジ ョ ジ, の ぞ く, loại trừ; Phân chia (x / 3); tẩy; bỏ; Hủy; ngoại trừ
勝, シ ョ ウ, か つ ま さ る ​​す つ, chiến thắng; thắng lợi; Thắng thế; Excel
召, シ ョ ウ, め す, quyến rũ; Gọi; gửi cho; mặc; đưa vào; Đi xe; mua; ăn; uống; nhiễm lạnh)
商, シ ョ ウ, あ き な う, làm một thỏa thuận; Bán; Kinh doanh; Thương gia
将, シ ョ ウ ソ ウ, ま ョ ョ ウ ソ ウ, ま さ ョ も っ ウ, lãnh đạo; chỉ huy; chung; Đô đốc; hoặc là; Và một lần nữa; Sớm; từ giờ trở đi; Chỉ là về
